Year,Total
1949,38830.0
1950,37670.0
1951,38880.0
1952,42450.0
1953,45370.0
1954,43920.0
1955,43450.0
1956,42020.0
1957,42910.0
1958,44660.0
1959,43790.0
1960,44960.0
1961,44730.0
1962,44290.0
1963,43930.0
1964,44350.0
1965,44340.0
1966,45090.0
1967,47337.0
1968,46241.0
1969,47241.0
1970,45950.0
1971,43576.0
1972,42211.0
1973,46240.0
1974,43125.0
1975,43798.0
1976,41940.0
1977,42280.0
1978,42229.0
1979,41361.0
1980,41780.0
1981,42442.0
1982,40433.0
1983,41705.0
1984,39212.0
1985,39470.0
1986,39741.0
1987,36224.0
1988,38683.0
1989,37689.0
1990,36319.0
1991,33418.0
1992,34424.0
1993,32817.0
1994,32316.0
1995,30884.0
1996,31814.0
1997,30834.0
1998,29341.0
1999,29340.0
2000,30257.0
2001,29523.0
2002,26992.0
2003,30801.0
2004,29025.0
2005,29065.0
2006,28708.0
2007,28482.0
2008,27449.0
2009,27675.0
2010,28339.0
2011,26422.0
2012,24765.0
2013,25220.0
2014,25170.0
2015,24390.0
2016,25008.0
2017,24286.0
2018,22146.0
2019,23988.0
2020,24118.0
2021,22700.0
2022,24070.0
2023,24938.0
2024,18437.0
