Year,Exponential Smoothing,Linear Regression,Auto ARIMA
2022,1312.588141,1294.225102,1317.940612
2023,1320.29056,1296.429224,1325.162002
2024,1339.847484,1298.633346,1329.982048
2025,1340.801827,1300.837468,1334.238992
2026,1350.195904,1303.04159,1339.244108
2027,1357.898322,1305.245711,1343.909861
2028,1377.455247,1307.449833,1348.643601
2029,1378.40959,1309.653955,1353.396768
2030,1387.803666,1311.858077,1358.126715
2031,1395.506085,1314.062199,1362.866854
2032,1415.06301,1316.266321,1367.605083
2033,1416.017352,1318.470443,1372.342651
2034,1425.411429,1320.674565,1377.080938
2035,1433.113848,1322.878687,1381.81892
2036,1452.670772,1325.082809,1386.556955
2037,1453.625115,1327.286931,1391.295013
2038,1463.019192,1329.491053,1396.033048
2039,1470.72161,1331.695175,1400.771092
2040,1490.278535,1333.899297,1405.509135
2041,1491.232877,1336.103418,1410.247177
2042,1500.626954,1338.30754,1414.98522
2043,1508.329373,1340.511662,1419.723262
2044,1527.886298,1342.715784,1424.461305
2045,1528.84064,1344.919906,1429.199347
2046,1538.234717,1347.124028,1433.93739
2047,1545.937135,1349.32815,1438.675432
2048,1565.49406,1351.532272,1443.413474
2049,1566.448403,1353.736394,1448.151517
2050,1575.84248,1355.940516,1452.889559
