Year,Total
1950,973.0
1951,970.0
1952,1021.0
1953,1091.0
1954,1079.0
1955,1106.0
1956,1111.0
1957,1095.0
1958,1148.0
1959,1158.0
1960,1156.0
1961,1172.0
1962,1178.0
1963,1174.0
1964,1181.0
1965,1151.0
1966,1153.0
1967,1214.0
1968,1204.0
1969,1236.0
1970,1243.0
1971,1226.0
1972,1193.0
1973,1265.0
1974,1211.0
1975,1282.0
1976,1244.0
1977,1275.0
1978,1290.0
1979,1252.0
1980,1267.0
1981,1291.0
1982,1251.0
1983,1312.0
1984,1267.0
1985,1280.0
1986,1272.0
1987,1197.0
1988,1277.0
1989,1268.0
1990,1278.0
1991,1219.0
1992,1232.0
1993,1228.0
1994,1237.0
1995,1210.0
1996,1236.0
1997,1239.0
1998,1252.0
1999,1231.0
2000,1211.0
2001,1228.0
2002,1139.0
2003,1235.0
2004,1201.0
2005,1216.0
2006,1237.0
2007,1241.0
2008,1228.0
2009,1213.0
2010,1267.0
2011,1248.0
2012,1207.0
2013,1260.0
2014,1220.0
2015,1232.0
2016,1292.0
2017,1275.0
2018,1248.0
2019,1270.0
2020,1298.0
2021,1302.0
2022,1322.0
