Year,Auto ARIMA,Exponential Smoothing,Prophet
2024,9551.461264,10235.5118,10283.83476
2025,10887.02227,10267.39154,10496.07686
2026,9794.259994,10344.95563,10643.937
2027,9677.863683,10313.21221,10766.58104
2028,10551.53062,10438.32841,10864.00756
2029,10411.35998,10470.20815,11076.24966
2030,10141.75516,10547.77224,11224.1098
2031,10524.69285,10516.02881,11346.75384
2032,10692.96889,10641.14502,11444.18036
2033,10573.94651,10673.02475,11656.42246
2034,10708.83196,10750.58885,11804.2826
2035,10899.21985,10718.84542,11926.92664
2036,10915.9018,10843.96163,12024.35316
2037,10977.37632,10875.84136,12236.59526
2038,11120.82942,10953.40546,12384.4554
2039,11201.48987,10921.66203,12507.09944
2040,11262.01181,11046.77824,12604.52596
2041,11368.34789,11078.65797,12816.76806
2042,11466.09742,11156.22206,12964.6282
2043,11540.78821,11124.47864,13087.27224
2044,11630.78665,11249.59484,13184.69876
2045,11727.4982,11281.47458,13396.94086
2046,11812.23784,11359.03867,13544.801
2047,11898.37007,11327.29525,13667.44504
2048,11990.90698,11452.41145,13764.87156
2049,12079.77441,11484.29119,13977.11366
2050,12166.51792,11561.85528,14124.9738
