Year,Total
1949,3300.0
1950,3159.0
1951,3310.0
1952,3605.0
1953,3869.0
1954,3749.0
1955,3696.0
1956,3758.0
1957,4079.0
1958,4265.0
1959,4344.0
1960,4407.0
1961,4507.0
1962,4643.0
1963,4582.0
1964,4618.0
1965,4799.0
1966,5074.0
1967,5583.0
1968,5716.0
1969,5862.0
1970,5852.0
1971,5668.0
1972,5838.0
1973,6015.0
1974,5863.0
1975,6031.0
1976,6000.0
1977,5683.0
1978,5760.0
1979,5720.0
1980,6005.0
1981,5935.0
1982,5720.0
1983,5859.0
1984,5800.0
1985,5797.0
1986,5923.0
1987,5542.0
1988,5897.0
1989,5915.0
1990,5904.0
1991,5859.0
1992,5963.0
1993,5995.0
1994,6136.0
1995,5979.0
1996,6260.0
1997,6321.0
1998,6204.0
1999,6422.0
2000,6611.0
2001,6582.0
2002,6635.0
2003,7343.0
2004,7430.0
2005,7588.0
2006,7894.0
2007,8118.0
2008,8174.0
2009,8262.0
2010,8553.0
2011,8782.0
2012,8677.0
2013,9066.0
2014,9185.0
2015,8806.0
2016,9633.0
2017,9380.0
2018,9027.0
2019,9569.0
2020,9892.0
2021,9958.0
2022,10744.0
2023,11241.0
2024,8395.0
