Year,Total
1949,10100.0
1950,11100.0
1951,12100.0
1952,11180.0
1953,10990.0
1954,12520.0
1955,12090.0
1956,12490.0
1957,12660.0
1958,13000.0
1959,13950.0
1960,13770.0
1961,14770.0
1962,15340.0
1963,14820.0
1964,15260.0
1965,15250.0
1966,15946.0
1967,16647.0
1968,15490.0
1969,15874.0
1970,16494.0
1971,17125.0
1972,15639.0
1973,16617.0
1974,16907.0
1975,16513.0
1976,16465.0
1977,17167.0
1978,17708.0
1979,16941.0
1980,17603.0
1981,18908.0
1982,17754.0
1983,18689.0
1984,18924.0
1985,19019.0
1986,18626.0
1987,20132.0
1988,21897.0
1989,22800.0
1990,24148.0
1991,25886.0
1992,25236.0
1993,26897.0
1994,25304.0
1995,25966.0
1996,26309.0
1997,26095.0
1998,26199.0
1999,24258.0
2000,22770.0
2001,22636.0
2002,21489.0
2003,23663.0
2004,27523.0
2005,27863.0
2006,26513.0
2007,26693.0
2008,27558.0
2009,25959.0
2010,27224.0
2011,26308.0
2012,26484.0
2013,28050.0
2014,25596.0
2015,26087.0
2016,26177.0
2017,24508.0
2018,24794.0
2019,27139.0
2020,28834.0
2021,28945.0
2022,30239.0
2023,30192.0
