Year,Total
1949,20200.0
1950,19091.0
1951,18775.0
1952,19845.0
1953,21729.0
1954,21914.0
1955,23216.0
1956,23316.0
1957,22538.0
1958,24311.0
1959,24833.0
1960,23563.0
1961,24243.0
1962,24265.0
1963,24186.0
1964,23875.0
1965,22717.0
1966,22121.0
1967,22649.0
1968,21264.0
1969,22023.0
1970,22534.0
1971,22151.0
1972,20915.0
1973,23427.0
1974,22024.0
1975,24454.0
1976,22983.0
1977,23497.0
1978,23657.0
1979,22259.0
1980,22457.0
1981,23843.0
1982,22833.0
1983,23542.0
1984,22737.0
1985,24418.0
1986,23156.0
1987,21559.0
1988,23146.0
1989,23415.0
1990,24662.0
1991,22543.0
1992,22360.0
1993,22250.0
1994,23028.0
1995,22283.0
1996,22447.0
1997,22871.0
1998,23501.0
1999,21116.0
2000,20348.0
2001,22008.0
2002,20496.0
2003,23458.0
2004,22763.0
2005,22391.0
2006,22392.0
2007,23633.0
2008,22094.0
2009,23282.0
2010,26407.0
2011,24462.0
2012,23257.0
2013,25220.0
2014,23553.0
2015,24911.0
2016,29445.0
2017,29813.0
2018,29156.0
2019,27987.0
2020,28783.0
2021,30731.0
2022,28901.0
2023,27505.0
