Year,Linear Regression,Auto ARIMA,SARIMA
2024,47320.71292,43368,44657.15256
2025,47518.88632,43368,45692.25217
2026,47717.05971,43368,45760.85189
2027,47915.23311,43368,43397.3348
2028,48113.40651,43368,44270.5496
2029,48311.5799,43368,44990.99236
2030,48509.7533,43368,45068.76643
2031,48707.9267,43368,43507.60808
2032,48906.1001,43368,44220.54625
2033,49104.27349,43368,44820.03102
2034,49302.44689,43368,44901.3167
2035,49500.62029,43368,43648.3909
2036,49698.79368,43368,44299.75677
2037,49896.96708,43368,44852.7742
2038,50095.14048,43368,44935.40889
2039,50293.31388,43368,43800.89389
2040,50491.48727,43368,44428.60611
2041,50689.66067,43368,44963.77261
2042,50887.83407,43368,45046.92554
2043,51086.00746,43368,43957.89931
2044,51284.18086,43368,44576.52472
2045,51482.35426,43368,45104.8336
2046,51680.52766,43368,45188.18562
2047,51878.70105,43368,44116.63438
2048,52076.87445,43368,44731.769
2049,52275.04785,43368,45257.44346
2050,52473.22124,43368,45340.87195
