Year,Total
1949,30500.0
1950,30810.0
1951,29831.0
1952,29969.0
1953,31289.0
1954,30764.0
1955,31521.0
1956,32277.0
1957,32298.0
1958,33172.0
1959,33820.0
1960,34128.0
1961,34694.0
1962,35695.0
1963,35809.0
1964,36462.0
1965,35470.0
1966,35251.0
1967,36437.0
1968,36967.0
1969,37680.0
1970,37592.0
1971,37758.0
1972,36688.0
1973,38286.0
1974,37889.0
1975,39475.0
1976,38511.0
1977,40282.0
1978,40482.0
1979,39414.0
1980,40152.0
1981,40708.0
1982,38262.0
1983,41244.0
1984,41159.0
1985,41136.0
1986,41167.0
1987,38319.0
1988,41736.0
1989,42167.0
1990,42687.0
1991,42649.0
1992,41775.0
1993,42541.0
1994,42814.0
1995,42837.0
1996,43433.0
1997,43446.0
1998,44802.0
1999,45162.0
2000,44716.0
2001,44904.0
2002,41176.0
2003,42592.0
2004,41907.0
2005,43657.0
2006,43814.0
2007,43914.0
2008,45537.0
2009,41918.0
2010,42862.0
2011,44006.0
2012,42754.0
2013,44136.0
2014,44110.0
2015,43499.0
2016,43993.0
2017,43774.0
2018,44156.0
2019,43662.0
2020,45769.0
2021,46279.0
2022,47832.0
2023,47828.0
2024,43368.0
