Year,Linear Regression,Prophet,Auto ARIMA
2024,11571.49585,11719.28863,11632.9259
2025,11789.00401,11817.73421,11798.96616
2026,12006.51217,12079.97737,11965.00643
2027,12224.02033,12336.79563,12131.0467
2028,12441.5285,12588.08115,12297.08696
2029,12659.03666,12686.52672,12463.12723
2030,12876.54482,12948.76988,12629.1675
2031,13094.05298,13205.58814,12795.20776
2032,13311.56114,13456.87366,12961.24803
2033,13529.06931,13555.31924,13127.28829
2034,13746.57747,13817.5624,13293.32856
2035,13964.08563,14074.38066,13459.36883
2036,14181.59379,14325.66618,13625.40909
2037,14399.10195,14424.11175,13791.44936
2038,14616.61012,14686.35491,13957.48962
2039,14834.11828,14943.17318,14123.52989
2040,15051.62644,15194.45869,14289.57016
2041,15269.1346,15292.90427,14455.61042
2042,15486.64276,15555.14743,14621.65069
2043,15704.15093,15811.96569,14787.69095
2044,15921.65909,16063.25121,14953.73122
2045,16139.16725,16161.69679,15119.77149
2046,16356.67541,16423.93994,15285.81175
2047,16574.18357,16680.75821,15451.85202
2048,16791.69174,16932.04373,15617.89228
2049,17009.1999,17030.4893,15783.93255
2050,17226.70806,17292.73246,15949.97282
