Year,Prophet,Exponential Smoothing,Auto ARIMA
2023,31943.08504,32071.20352,32105.54459
2024,32132.84116,31999.93747,32414.374
2025,32053.62493,32507.40529,32723.20341
2026,32526.6906,33020.21432,33032.03281
2027,32858.18678,33253.85746,33340.86222
2028,33047.94289,33182.59141,33649.69163
2029,32968.72666,33690.05923,33958.52104
2030,33441.79233,34202.86826,34267.35045
2031,33773.28851,34436.5114,34576.17986
2032,33963.04463,34365.24535,34885.00926
2033,33883.8284,34872.71317,35193.83867
2034,34356.89406,35385.5222,35502.66808
2035,34688.39024,35619.16534,35811.49749
2036,34878.14636,35547.89929,36120.3269
2037,34798.93013,36055.3671,36429.15631
2038,35271.9958,36568.17614,36737.98571
2039,35603.49198,36801.81927,37046.81512
2040,35793.2481,36730.55322,37355.64453
2041,35714.03186,37238.02104,37664.47394
2042,36187.09753,37750.83007,37973.30335
2043,36518.59371,37984.47321,38282.13275
2044,36708.34983,37913.20716,38590.96216
2045,36629.1336,38420.67498,38899.79157
2046,37102.19926,38933.48401,39208.62098
2047,37433.69544,39167.12715,39517.45039
2048,37623.45156,39095.8611,39826.2798
2049,37544.23533,39603.32892,40135.1092
2050,38017.301,40116.13795,40443.93861
