Year,Total
1949,9800.0
1950,9746.0
1951,9471.0
1952,9828.0
1953,10681.0
1954,11259.0
1955,12367.0
1956,13524.0
1957,11730.0
1958,12617.0
1959,13380.0
1960,12927.0
1961,13570.0
1962,13590.0
1963,13499.0
1964,13422.0
1965,12572.0
1966,12838.0
1967,14998.0
1968,15958.0
1969,16626.0
1970,18240.0
1971,19139.0
1972,19463.0
1973,18583.0
1974,18010.0
1975,20454.0
1976,20922.0
1977,21456.0
1978,22641.0
1979,22172.0
1980,22279.0
1981,22144.0
1982,23567.0
1983,24672.0
1984,23565.0
1985,22997.0
1986,23131.0
1987,22604.0
1988,24109.0
1989,23502.0
1990,24167.0
1991,23262.0
1992,24589.0
1993,25147.0
1994,25700.0
1995,24910.0
1996,25887.0
1997,26696.0
1998,27523.0
1999,27486.0
2000,25731.0
2001,26345.0
2002,25196.0
2003,26595.0
2004,26383.0
2005,26484.0
2006,27995.0
2007,28039.0
2008,27752.0
2009,28457.0
2010,29069.0
2011,29865.0
2012,29995.0
2013,30473.0
2014,31466.0
2015,30418.0
2016,30785.0
2017,29651.0
2018,29319.0
2019,31357.0
2020,31125.0
2021,30459.0
2022,31401.0
2023,31833.0
