Year,SARIMA,Exponential Smoothing,Auto ARIMA
2023,312472.04,311909.99,308065.66
2024,315515.55,314312.74,311815.52
2025,317707.65,320273.39,315565.38
2026,325921.47,329158.04,319315.24
2027,331300.56,336614.96,323065.1
2028,334277.63,339017.71,326814.96
2029,337870.44,344978.36,330564.82
2030,345680.6,353863.01,334314.68
2031,350959.21,361319.93,338064.54
2032,353943.11,363722.68,341814.39
2033,357388.06,369683.33,345564.25
2034,365240.83,378567.98,349314.11
2035,370530.05,386024.9,353063.97
2036,373513.23,388427.65,356813.83
2037,376973.79,394388.3,360563.69
2038,384822.07,403272.95,364313.55
2039,390110.17,410729.86,368063.41
2040,393093.43,413132.62,371813.27
2041,396552.34,419093.27,375563.13
2042,404401.08,427977.91,379312.99
2043,409689.3,435434.83,383062.85
2044,412672.55,437837.59,386812.71
2045,416131.64,443798.23,390562.57
2046,423980.34,452682.88,394312.43
2047,429268.54,460139.8,398062.29
2048,432251.79,462542.56,401812.15
2049,435710.86,468503.2,405562.01
2050,443559.56,477387.85,409311.87
