Year,Total
1950,42414.0
1951,43576.0
1952,50012.0
1953,59203.0
1954,57085.0
1955,55805.0
1956,58304.0
1957,54749.0
1958,63992.0
1959,64873.0
1960,69314.0
1961,70951.0
1962,68623.0
1963,70569.0
1964,76939.0
1965,62403.0
1966,65884.0
1967,82950.0
1968,83595.0
1969,87810.0
1970,96603.0
1971,94074.0
1972,87119.0
1973,94657.0
1974,89812.0
1975,107995.0
1976,99806.0
1977,114434.0
1978,119719.0
1979,101129.0
1980,118962.0
1981,121788.0
1982,117662.0
1983,139481.0
1984,133576.0
1985,137079.0
1986,131711.0
1987,127374.0
1988,156073.0
1989,158179.0
1990,162125.0
1991,156359.0
1992,166669.0
1993,170956.0
1994,177458.0
1995,168105.0
1996,185192.0
1997,179279.0
1998,188700.0
1999,196383.0
2000,188460.0
2001,199483.0
2002,163646.0
2003,198284.0
2004,185233.0
2005,195217.0
2006,203085.0
2007,216014.0
2008,219900.0
2009,203446.0
2010,226241.0
2011,242197.0
2012,238792.0
2013,245790.0
2014,234871.0
2015,235218.0
2016,251981.0
2017,259597.0
2018,263133.0
2019,274479.0
2020,285279.0
2021,288314.0
2022,303628.0
2023,308052.0
