Year,SARIMA,Auto ARIMA,Exponential Smoothing
2023,57781.5,56183.61,55189.51
2024,57995.64,56795.91,56022.56
2025,59536.99,57408.21,58347.82
2026,59924.82,58020.52,59516.62
2027,61072.85,58632.82,60938.49
2028,61258.66,59245.12,61771.54
2029,62354.26,59857.42,64096.79
2030,62815.91,60469.72,65265.6
2031,63993.49,61082.02,66687.46
2032,64176.53,61694.32,67520.51
2033,65228.8,62306.62,69845.77
2034,65697.63,62918.92,71014.57
2035,66878.08,63531.23,72436.44
2036,67060.85,64143.53,73269.49
2037,68108.91,64755.83,75594.75
2038,68578.43,65368.13,76763.55
2039,69759.16,65980.43,78185.42
2040,69941.91,66592.73,79018.46
2041,70989.56,67205.03,81343.72
2042,71459.15,67817.33,82512.53
2043,72639.91,68429.64,83934.39
2044,72822.65,69041.94,84767.44
2045,73870.26,69654.24,87092.7
2046,74339.86,70266.54,88261.5
2047,75520.62,70878.84,89683.37
2048,75703.36,71491.14,90516.42
2049,76750.97,72103.44,92841.67
2050,77220.57,72715.74,94010.48
