Year,Total
1950,15380.0
1951,16090.0
1952,19610.0
1953,22970.0
1954,22820.0
1955,19490.0
1956,19870.0
1957,21230.0
1958,23180.0
1959,22870.0
1960,23740.0
1961,23220.0
1962,24630.0
1963,23720.0
1964,25370.0
1965,21420.0
1966,24053.0
1967,28764.0
1968,25182.0
1969,27289.0
1970,30546.0
1971,24596.0
1972,23140.0
1973,28829.0
1974,26129.0
1975,30509.0
1976,28879.0
1977,30015.0
1978,30438.0
1979,26969.0
1980,29018.0
1981,31088.0
1982,27752.0
1983,33908.0
1984,31171.0
1985,26202.0
1986,26831.0
1987,25844.0
1988,31474.0
1989,34757.0
1990,32699.0
1991,25991.0
1992,36591.0
1993,30817.0
1994,29876.0
1995,29032.0
1996,34105.0
1997,30400.0
1998,31335.0
1999,30331.0
2000,31081.0
2001,33377.0
2002,26065.0
2003,37602.0
2004,33465.0
2005,34069.0
2006,33923.0
2007,40750.0
2008,40038.0
2009,33549.0
2010,43397.0
2011,42014.0
2012,40044.0
2013,43295.0
2014,42862.0
2015,38523.0
2016,43772.0
2017,46970.0
2018,43059.0
2019,47748.0
2020,51324.0
2021,51101.0
2022,57319.0
2023,56936.0
