Year,Auto ARIMA,Exponential Smoothing,SARIMA
2023,149841.01,149971.73,149927.04
2024,157003.86,156797.48,157092.4
2025,164260.57,163548.52,164270.62
2026,171611.14,170050.38,171344.35
2027,179055.55,176931.92,178790.59
2028,186593.82,183757.67,186242.83
2029,194225.94,190508.71,193749.2
2030,201951.91,197010.58,201005.59
2031,209771.74,203892.12,208715.7
2032,217685.41,210717.86,216431.94
2033,225692.94,217468.9,224200.92
2034,233794.32,223970.77,231724.86
2035,241989.56,230852.31,239699.75
2036,250278.65,237678.06,247680.77
2037,258661.59,244429.09,255714.57
2038,267138.38,250930.96,263503.16
2039,275709.02,257812.5,271742.79
2040,284373.52,264638.25,279988.55
2041,293131.87,271389.28,288287.07
2042,301984.07,277891.15,296340.4
2043,310930.12,284772.69,304844.76
2044,319970.03,291598.44,313355.24
2045,329103.79,298349.47,321918.49
2046,338331.4,304851.34,330236.53
2047,347652.86,311732.88,339005.61
2048,357068.18,318558.63,347780.81
2049,366577.35,325309.66,356608.76
2050,376180.37,331811.53,365191.51
