Year,Total
1950,1832.0
1951,1847.0
1952,1862.0
1953,1878.0
1954,1893.0
1955,1908.0
1956,2102.0
1957,2297.0
1958,2491.0
1959,2686.0
1960,2881.0
1961,3183.0
1962,3486.0
1963,3788.0
1964,4091.0
1965,4393.0
1966,4695.0
1967,4998.0
1968,5300.0
1969,5791.0
1970,6282.0
1971,6773.0
1972,7264.0
1973,7755.0
1974,8050.0
1975,8344.0
1976,8639.0
1977,8934.0
1978,9228.0
1979,9523.0
1980,10060.0
1981,10876.0
1982,11454.0
1983,12792.0
1984,14252.0
1985,16128.0
1986,17310.0
1987,17795.0
1988,18980.0
1989,20204.0
1990,21101.0
1991,21983.0
1992,22929.0
1993,24167.0
1994,25975.0
1995,27198.0
1996,27496.0
1997,28689.0
1998,29476.0
1999,30447.0
2000,36632.0
2001,38729.0
2002,39823.0
2003,40403.0
2004,45201.0
2005,46235.0
2006,50663.0
2007,53583.0
2008,55562.0
2009,60267.0
2010,63024.0
2011,66450.0
2012,69731.0
2013,74752.0
2014,78484.0
2015,82929.0
2016,88139.0
2017,95217.0
2018,103804.0
2019,114383.0
2020,122050.0
2021,129600.0
2022,138376.0
2023,142772.0
