Year,Exponential Smoothing,SARIMA,Auto ARIMA
2023,3393.53,3351.27,3323.87
2024,3462.89,3384.63,3361.96
2025,3516.79,3391.44,3400.05
2026,3610.91,3449.49,3438.14
2027,3699.58,3499.27,3476.23
2028,3768.94,3530.69,3514.32
2029,3822.84,3549.5,3552.4
2030,3916.96,3604.67,3590.49
2031,4005.63,3652.7,3628.58
2032,4074.99,3684.28,3666.67
2033,4128.89,3702.09,3704.76
2034,4223.01,3757.5,3742.85
2035,4311.68,3805.68,3780.94
2036,4381.04,3837.24,3819.03
2037,4434.94,3855.13,3857.12
2038,4529.06,3910.52,3895.21
2039,4617.73,3958.69,3933.3
2040,4687.09,3990.25,3971.39
2041,4740.99,4008.14,4009.48
2042,4835.11,4063.53,4047.57
2043,4923.78,4111.7,4085.66
2044,4993.14,4143.26,4123.75
2045,5047.04,4161.14,4161.84
2046,5141.16,4216.54,4199.93
2047,5229.83,4264.71,4238.02
2048,5299.19,4296.27,4276.1
2049,5353.09,4314.15,4314.19
2050,5447.21,4369.55,4352.28
