Year,Total
1950,508.3
1951,519.9
1952,592.0
1953,698.2
1954,680.3
1955,668.5
1956,698.6
1957,643.1
1958,771.4
1959,766.7
1960,820.2
1961,827.1
1962,801.5
1963,806.4
1964,893.6
1965,723.5
1966,742.3
1967,950.5
1968,940.1
1969,995.0
1970,1084.2
1971,1051.7
1972,970.3
1973,1046.7
1974,998.3
1975,1210.3
1976,1111.7
1977,1264.1
1978,1319.0
1979,1097.0
1980,1295.9
1981,1333.0
1982,1295.2
1983,1523.7
1984,1455.4
1985,1504.4
1986,1434.2
1987,1403.5
1988,1699.2
1989,1710.4
1990,1763.9
1991,1683.8
1992,1794.8
1993,1842.6
1994,1915.0
1995,1804.2
1996,1994.3
1997,1931.2
1998,2036.1
1999,2098.0
2000,1968.1
2001,2128.5
2002,1747.8
2003,2131.9
2004,1983.6
2005,2086.0
2006,2172.8
2007,2307.8
2008,2344.7
2009,2181.1
2010,2444.9
2011,2592.9
2012,2571.3
2013,2650.4
2014,2520.2
2015,2515.7
2016,2751.1
2017,2850.1
2018,2852.1
2019,2975.0
2020,3107.4
2021,3156.2
2022,3296.9
2023,3323.0
