Year,Exponential Smoothing,SARIMA,Auto ARIMA
2023,115817.91,114181.11,115547.35
2024,120572.12,118659.27,118116.69
2025,122153.57,121734.8,120686.02
2026,125001.98,124145.82,123255.36
2027,127856.88,125642.44,125824.69
2028,132611.09,129894.93,128394.02
2029,134192.54,133126.65,130963.36
2030,137040.95,135386.84,133532.69
2031,139895.85,137006.94,136102.03
2032,144650.06,141164.38,138671.36
2033,146231.51,144461.93,141240.69
2034,149079.92,146658.51,143810.03
2035,151934.82,148330.7,146379.36
2036,156689.03,152448.04,148948.7
2037,158270.48,155773.36,151518.03
2038,161118.89,157943.11,154087.36
2039,163973.79,159637.27,156656.7
2040,168728,163737.69,159226.03
2041,170309.45,167074.72,161795.36
2042,173157.86,169233.16,164364.7
2043,176012.76,170936.58,166934.03
2044,180766.97,175029.88,169503.37
2045,182348.42,178371.85,172072.7
2046,185196.83,180525.51,174642.03
2047,188051.73,182232.85,177211.37
2048,192805.94,186323.13,179780.7
2049,194387.39,189667.18,182350.04
2050,197235.8,191818.83,184919.37
