Year,Exponential Smoothing,Auto ARIMA,SARIMA
2023,39202.15,39371.03,39273.39
2024,40850.33,41932.84,40799.1
2025,42653.39,43083.49,42644.7
2026,44383.41,44751.96,42869.22
2027,46614.49,46769.09,44694.28
2028,48262.67,48388.85,46160.17
2029,50065.73,50136.61,47893.07
2030,51795.75,52022.84,48147.1
2031,54026.84,53810.19,49982.31
2032,55675.02,55637.53,51445.41
2033,57478.08,57525.3,53173.06
2034,59208.1,59400.06,53428.46
2035,61439.18,61297.22,55264.14
2036,63087.36,63227.67,56727.12
2037,64890.42,65169.25,58454.52
2038,66620.44,67130.58,58709.99
2039,68851.52,69116.18,60545.69
2040,70499.7,71119.54,62008.66
2041,72302.76,73142.6,63736.06
2042,74032.78,75187.05,63991.52
2043,76263.86,77251.02,65827.23
2044,77912.04,79334.89,67290.19
2045,79715.11,81439.26,69017.59
2046,81445.13,83563.6,69273.06
2047,83676.21,85707.96,71108.76
2048,85324.39,87872.55,72571.73
2049,87127.45,90057.21,74299.12
2050,88857.47,92261.96,74554.59
