Year,Total
1950,1729.0
1951,2076.0
1952,2870.0
1953,3039.0
1954,2975.0
1955,2602.0
1956,3078.0
1957,3150.0
1958,3463.0
1959,4073.0
1960,4080.0
1961,4312.0
1962,4607.0
1963,4561.0
1964,4664.0
1965,4823.0
1966,4894.0
1967,6270.0
1968,5701.0
1969,5674.0
1970,7486.0
1971,5101.0
1972,6388.0
1973,5803.0
1974,5559.0
1975,7256.0
1976,6361.0
1977,5973.0
1978,6199.0
1979,5603.0
1980,6957.0
1981,6897.0
1982,6549.0
1983,7922.0
1984,8442.0
1985,6643.0
1986,7593.0
1987,5629.0
1988,8229.0
1989,9651.0
1990,8962.0
1991,8064.0
1992,9994.0
1993,9601.0
1994,8884.0
1995,9534.0
1996,10770.0
1997,10819.0
1998,11148.0
1999,11510.0
2000,12043.0
2001,13160.0
2002,11152.0
2003,14984.0
2004,14172.0
2005,14709.0
2006,15097.0
2007,18955.0
2008,19731.0
2009,16720.0
2010,21726.0
2011,21759.0
2012,22258.0
2013,24260.0
2014,24172.0
2015,22567.0
2016,25900.0
2017,28753.0
2018,27715.0
2019,28766.0
2020,31647.0
2021,33730.0
2022,38085.0
2023,37665.0
