Year,Exponential Smoothing,SARIMA,Auto ARIMA
2022,18651.03,18463.48,18588.95
2023,19745.6,19390.25,19612.74
2024,20933.25,20967.45,20745.19
2025,22011.95,22337.73,21977.55
2026,23122.27,23442.12,23246.67
2027,24216.84,24554.75,24510.31
2028,25404.48,26297.47,25765.5
2029,26483.19,27832.15,27028.7
2030,27593.51,29105.31,28313.24
2031,28688.08,30384.56,29621.57
2032,29875.72,32290.59,30949.61
2033,30954.43,33986.42,32293.3
2034,32064.74,35418.92,33651.49
2035,33159.32,36855.34,35025.1
2036,34346.96,38916.34,36415.34
2037,35425.67,40765.04,37822.67
2038,36535.98,42348.34,39246.89
2039,37630.56,43933.5,40687.67
2040,38818.2,46141.22,42144.84
2041,39896.91,48134.63,43618.43
2042,41007.22,49860.68,45108.52
2043,42101.8,51586.64,46615.19
2044,43289.44,53933.24,48138.43
2045,43289.44,56063.63,49678.21
2046,45478.46,57924.8,51234.51
2047,46573.03,59784.04,52807.34
2048,47760.68,62262.1,54396.69
2049,48839.38,64522.17,56002.58
2050,49949.7,66511.23,57625.01
