Year,Total
1950,752.0
1951,769.0
1952,787.0
1953,804.0
1954,822.0
1955,839.0
1956,903.0
1957,967.0
1958,1032.0
1959,1096.0
1960,1160.0
1961,1194.0
1962,1228.0
1963,1263.0
1964,1297.0
1965,1331.0
1966,1416.0
1967,1501.0
1968,1586.0
1969,1671.0
1970,1756.0
1971,1823.0
1972,1891.0
1973,1958.0
1974,2028.0
1975,2097.0
1976,2167.0
1977,2236.0
1978,2306.0
1979,2340.0
1980,2442.0
1981,2444.0
1982,2367.0
1983,2506.0
1984,2801.0
1985,2876.0
1986,2942.0
1987,2959.0
1988,3152.0
1989,3677.0
1990,3836.0
1991,4157.0
1992,4365.0
1993,4644.0
1994,4789.0
1995,4949.0
1996,5348.0
1997,5388.0
1998,5298.0
1999,5675.0
2000,5656.0
2001,5956.0
2002,6200.0
2003,6399.0
2004,6305.0
2005,6572.0
2006,6869.0
2007,7127.0
2008,7616.0
2009,7998.0
2010,8231.0
2011,8666.0
2012,9040.0
2013,9579.0
2014,10260.0
2015,10762.0
2016,11431.0
2017,12704.0
2018,13573.0
2019,14164.0
2020,14725.0
2021,16248.0
2022,17545.0
