Year,Linear Regression,Prophet,Exponential Smoothing
2023,10.17608696,10.192266,10.57
2024,10.58023715,10.58704155,10.88
2025,10.98438735,10.94392203,11.21
2026,11.38853755,11.38790185,11.81
2027,11.79268775,11.80730864,12.07
2028,12.19683794,12.20208419,12.38
2029,12.60098814,12.55896467,12.71
2030,13.00513834,13.00294449,13.31
2031,13.40928854,13.42235128,13.57
2032,13.81343874,13.81712683,13.88
2033,14.21758893,14.17400731,14.21
2034,14.62173913,14.61798713,14.81
2035,15.02588933,15.03739392,15.07
2036,15.43003953,15.43216946,15.38
2037,15.83418972,15.78904994,15.71
2038,16.23833992,16.23302977,16.31
2039,16.64249012,16.65243656,16.57
2040,17.04664032,17.0472121,16.88
2041,17.45079051,17.40409258,17.21
2042,17.85494071,17.84807241,17.81
2043,18.25909091,18.2674792,18.08
2044,18.66324111,18.66225474,18.38
2045,19.0673913,19.01913522,18.71
2046,19.4715415,19.46311505,19.31
2047,19.8756917,19.88252183,19.58
2048,20.2798419,20.27729738,19.88
2049,20.68399209,20.63417786,20.22
2050,21.08814229,21.07815768,20.82
