Year,Total
1950,17.0
1951,17.4
1952,17.8
1953,18.2
1954,18.6
1955,19.0
1956,19.2
1957,19.4
1958,19.6
1959,19.8
1960,20.0
1961,20.15
1962,20.3
1963,20.45
1964,20.6
1965,20.75
1966,20.9
1967,21.05
1968,21.2
1969,21.6
1970,22.0
1971,22.4
1972,22.8
1973,23.2
1974,24.4
1975,25.6
1976,26.8
1977,28.0
1978,29.2
1979,30.4
1980,31.6
1981,34.3
1982,35.8
1983,38.8
1984,41.5
1985,44.0
1986,46.1
1987,46.7
1988,48.4
1989,51.4
1990,53.9
1991,55.7
1992,58.0
1993,60.6
1994,63.8
1995,66.2
1996,69.1
1997,72.1
1998,75.4
1999,78.3
2000,80.6
2001,84.4
2002,86.2
2003,88.1
2004,92.5
2005,97.1
2006,102.6
2007,107.9
2008,112.2
2009,116.4
2010,121.8
2011,127.9
2012,132.4
2013,137.7
2014,146.3
2015,155.5
2016,165.4
2017,176.3
2018,187.7
2019,198.4
2020,210.0
2021,222.1
2022,230.6
2023,239.3
