Year,Total
1950,6200.0
1951,7200.0
1952,4730.0
1953,5370.0
1954,6400.0
1955,5730.0
1956,6360.0
1957,6350.0
1958,7300.0
1959,6560.0
1960,6980.0
1961,7280.0
1962,7390.0
1963,7130.0
1964,8560.0
1965,6400.0
1966,6575.0
1967,8478.0
1968,7028.0
1969,7975.0
1970,9540.0
1971,8993.0
1972,7033.0
1973,9181.0
1974,8873.0
1975,10299.0
1976,8428.0
1977,9662.0
1978,10101.0
1979,8739.0
1980,9373.0
1981,12080.0
1982,9995.0
1983,12691.0
1984,12946.0
1985,10831.0
1986,11270.0
1987,12655.0
1988,18034.0
1989,16924.0
1990,18609.0
1991,18600.0
1992,20107.0
1993,21496.0
1994,21338.0
1995,22107.0
1996,23329.0
1997,21320.0
1998,24750.0
1999,20710.0
2000,18440.0
2001,20662.0
2002,14838.0
2003,25186.0
2004,24354.0
2005,27978.0
2006,24289.0
2007,29755.0
2008,27719.0
2009,24882.0
2010,32477.0
2011,29799.0
2012,30940.0
2013,32749.0
2014,27511.0
2015,25251.0
2016,31276.0
2017,31459.0
2018,31522.0
2019,33219.0
2020,35946.0
2021,37963.0
2022,41355.0
2023,39669.0
