Year,Total
1950,8411.0
1951,8420.0
1952,9189.0
1953,10618.0
1954,10950.0
1955,11045.0
1956,11551.0
1957,9562.0
1958,13149.0
1959,11799.0
1960,12704.0
1961,11755.0
1962,11528.0
1963,10073.0
1964,12417.0
1965,9944.0
1966,8347.0
1967,12102.0
1968,10418.0
1969,11691.0
1970,11818.0
1971,11094.0
1972,9907.0
1973,10008.0
1974,10014.0
1975,13040.0
1976,11361.0
1977,11973.0
1978,12183.0
1979,8572.0
1980,10627.0
1981,11507.0
1982,11857.0
1983,12893.0
1984,11963.0
1985,13361.0
1986,11707.0
1987,11040.0
1988,13849.0
1989,12858.0
1990,14265.0
1991,12015.0
1992,12815.0
1993,13305.0
1994,14038.0
1995,12310.0
1996,14244.0
1997,12979.0
1998,12162.0
1999,13418.0
2000,11076.0
2001,13368.0
2002,11125.0
2003,14905.0
2004,13130.0
2005,13384.0
2006,14197.0
2007,14762.0
2008,14566.0
2009,14662.0
2010,18241.0
2011,17089.0
2012,18343.0
2013,19257.0
2014,17152.0
2015,16348.0
2016,23130.0
2017,25416.0
2018,22076.0
2019,23025.0
2020,25463.0
2021,27302.0
2022,26058.0
2023,24246.0
