Year,SARIMA,Auto ARIMA,Exponential Smoothing
2023,137735.76,138454.19,138784.9
2024,140020.1,140656.39,143391.62
2025,140018.01,142239.53,145006.48
2026,142801.97,143883.43,149826.27
2027,144400.55,145605.84,153661.22
2028,146675.29,147273.23,158267.94
2029,147194.14,148957.16,159882.8
2030,149916.32,150641.83,164702.59
2031,151387.1,152323.08,168537.53
2032,153662.36,154006.11,173144.26
2033,154141.41,155688.76,174759.12
2034,156868.3,157371.3,179578.91
2035,158348.86,159053.98,183413.85
2036,160624.07,160736.6,188020.58
2037,161106.17,162419.22,189635.44
2038,163832.7,164101.86,194455.23
2039,165312.51,165784.48,198290.17
2040,167587.73,167467.11,202896.89
2041,168069.59,169149.74,204511.76
2042,170796.15,170832.37,209331.55
2043,172276.02,172515,213166.49
2044,174551.23,174197.63,217773.21
2045,175033.12,175880.26,219388.08
2046,177759.67,177562.89,224207.86
2047,179239.54,179245.52,228042.81
2048,181514.75,180928.15,232649.53
2049,181996.63,182610.78,234264.4
2050,184723.19,184293.4,239084.18
