Year,Total
1950,20576.0
1951,21300.0
1952,22899.0
1953,28214.0
1954,25219.0
1955,27557.0
1956,29037.0
1957,25525.0
1958,30847.0
1959,31676.0
1960,34574.0
1961,35663.0
1962,33217.0
1963,36998.0
1964,39308.0
1965,30590.0
1966,30438.0
1967,37612.0
1968,39761.0
1969,40430.0
1970,42225.0
1971,43068.0
1972,39245.0
1973,44051.0
1974,39579.0
1975,48740.0
1976,41917.0
1977,52671.0
1978,53773.0
1979,42330.0
1980,53631.0
1981,53248.0
1982,47116.0
1983,60097.0
1984,58336.0
1985,63825.0
1986,60557.0
1987,56433.0
1988,70489.0
1989,73573.0
1990,74291.0
1991,74678.0
1992,72868.0
1993,80298.0
1994,81814.0
1995,76975.0
1996,81737.0
1997,82535.0
1998,86077.0
1999,89683.0
2000,84976.0
2001,93340.0
2002,71821.0
2003,88526.0
2004,83131.0
2005,91794.0
2006,93355.0
2007,96693.0
2008,99183.0
2009,89093.0
2010,95970.0
2011,105301.0
2012,105241.0
2013,106646.0
2014,105482.0
2015,104408.0
2016,109698.0
2017,112758.0
2018,116478.0
2019,118870.0
2020,124368.0
2021,129471.0
2022,135755.0
2023,137825.0
