Year,Exponential Smoothing,SARIMA,Auto ARIMA
2023,115470.82,114709.94,114318.08
2024,116413.83,115576.7,115955.03
2025,118255.2,117070.72,117374
2026,120446.92,120287.13,118870.76
2027,122831.14,121690.17,120339.75
2028,123774.16,121977.96,121818.66
2029,125615.53,123755.58,123294.02
2030,127807.25,126870.05,124770.65
2031,130191.47,128273.63,126246.83
2032,131134.48,128694.04,127723.17
2033,132975.85,130406.77,129199.45
2034,135167.57,133544.6,130675.75
2035,137551.79,134947.96,132152.05
2036,138494.81,135338.31,133628.35
2037,140336.18,137065.75,135104.64
2038,142527.9,140198.29,136580.94
2039,144912.12,141601.7,138057.24
2040,145855.13,141998.87,139533.54
2041,147696.5,143722.97,141009.83
2042,149888.23,146856.72,142486.13
2043,152272.44,148260.11,143962.43
2044,153215.46,148655.73,145438.72
2045,155056.83,150380.59,146915.02
2046,157248.55,153514.06,148391.32
2047,159632.77,154917.46,149867.62
2048,160575.79,155313.43,151343.91
2049,162417.15,157038.12,152820.21
2050,164608.88,160171.65,154296.51
