Year,Total
1950,6462.0
1951,6183.0
1952,7501.0
1953,8017.0
1954,9043.0
1955,8760.0
1956,9403.0
1957,7998.0
1958,9958.0
1959,10324.0
1960,10997.0
1961,12072.0
1962,10776.0
1963,9853.0
1964,12257.0
1965,10394.0
1966,11393.0
1967,16540.0
1968,18651.0
1969,20093.0
1970,23832.0
1971,26410.0
1972,24735.0
1973,21778.0
1974,24104.0
1975,28846.0
1976,29010.0
1977,31749.0
1978,35508.0
1979,31830.0
1980,36313.0
1981,37452.0
1982,42794.0
1983,45476.0
1984,44069.0
1985,47052.0
1986,44323.0
1987,45096.0
1988,54110.0
1989,49850.0
1990,55135.0
1991,55690.0
1992,57210.0
1993,59840.0
1994,65767.0
1995,62097.0
1996,69350.0
1997,66345.0
1998,71288.0
1999,76369.0
2000,69681.0
2001,72766.0
2002,65096.0
2003,72156.0
2004,68637.0
2005,69355.0
2006,75807.0
2007,78570.0
2008,80679.0
2009,80804.0
2010,86874.0
2011,94882.0
2012,93506.0
2013,95850.0
2014,86527.0
2015,92288.0
2016,98510.0
2017,99870.0
2018,103596.0
2019,107861.0
2020,109586.0
2021,107742.0
2022,110554.0
2023,113292.0
