Year,Auto ARIMA,Exponential Smoothing,SARIMA
2023,2422.14,2433.94,2408.94
2024,2504.21,2501.09,2475.52
2025,2587.32,2580.58,2548.6
2026,2671.47,2652.55,2535.75
2027,2756.66,2753.69,2637.23
2028,2842.89,2820.84,2697.76
2029,2930.16,2900.34,2763.62
2030,3018.48,2972.31,2761.5
2031,3107.84,3073.45,2859.9
2032,3198.24,3140.6,2919.67
2033,3289.68,3220.09,2984.63
2034,3382.17,3292.07,2983.86
2035,3475.69,3393.21,3081.87
2036,3570.26,3460.36,3141.54
2037,3665.87,3539.85,3206.38
2038,3762.52,3611.83,3205.78
2039,3860.21,3712.97,3303.74
2040,3958.95,3780.12,3363.4
2041,4058.73,3859.61,3428.23
2042,4159.54,3931.58,3427.65
2043,4261.41,4032.72,3525.61
2044,4364.31,4099.87,3585.27
2045,4468.25,4179.37,3650.09
2046,4573.24,4251.34,3649.52
2047,4679.27,4352.48,3747.47
2048,4786.34,4419.63,3807.13
2049,4894.45,4499.12,3871.95
2050,5003.6,4571.1,3871.38
