Year,Total
1950,408.0
1951,414.0
1952,462.0
1953,506.0
1954,520.0
1955,449.0
1956,473.0
1957,495.0
1958,519.0
1959,522.0
1960,528.0
1961,519.0
1962,556.0
1963,540.0
1964,514.0
1965,483.0
1966,533.0
1967,608.0
1968,545.0
1969,578.0
1970,665.0
1971,564.0
1972,548.0
1973,623.0
1974,606.0
1975,697.0
1976,689.0
1977,710.0
1978,721.0
1979,652.0
1980,695.0
1981,732.0
1982,686.0
1983,813.0
1984,795.0
1985,664.0
1986,675.0
1987,713.0
1988,814.0
1989,922.0
1990,900.0
1991,778.0
1992,1063.0
1993,939.0
1994,925.0
1995,940.0
1996,1072.0
1997,986.0
1998,1068.0
1999,1034.0
2000,1027.0
2001,1131.0
2002,966.0
2003,1221.0
2004,1153.0
2005,1172.0
2006,1182.0
2007,1431.0
2008,1459.0
2009,1212.0
2010,1531.0
2011,1590.0
2012,1617.0
2013,1717.0
2014,1703.0
2015,1579.0
2016,1750.0
2017,1934.0
2018,1944.0
2019,1991.0
2020,2128.0
2021,2251.0
2022,2381.0
2023,2283.0
