Year,Exponential Smoothing,SARIMA,Auto ARIMA
2023,3587.44,3528.29,3441.13
2024,3652.26,3653.08,3479.65
2025,3733.21,3730.42,3518.17
2026,3820.12,3687.78,3556.69
2027,3965.5,3826.22,3595.21
2028,4030.32,3959.85,3633.73
2029,4111.26,4042.14,3672.25
2030,4198.18,3989.28,3710.78
2031,4343.56,4130.36,3749.3
2032,4408.37,4263.39,3787.82
2033,4489.32,4345.35,3826.34
2034,4576.24,4293.18,3864.86
2035,4721.61,4434.07,3903.38
2036,4786.43,4567.15,3941.9
2037,4867.37,4649.13,3980.42
2038,4954.29,4596.91,4018.94
2039,5099.67,4737.82,4057.46
2040,5164.49,4870.89,4095.98
2041,5245.43,4952.87,4134.51
2042,5332.35,4900.66,4173.03
2043,5477.72,5041.56,4211.55
2044,5542.54,5174.63,4250.07
2045,5623.48,5256.61,4288.59
2046,5710.4,5204.4,4327.11
2047,5855.78,5345.3,4365.63
2048,5920.6,5478.38,4404.15
2049,6001.54,5560.35,4442.67
2050,6088.46,5508.14,4481.19
