Year,Total
1950,547.0
1951,627.0
1952,796.0
1953,785.0
1954,794.0
1955,704.0
1956,819.0
1957,772.0
1958,812.0
1959,938.0
1960,926.0
1961,957.0
1962,992.0
1963,995.0
1964,1010.0
1965,1005.0
1966,964.0
1967,1123.0
1968,997.0
1969,968.0
1970,1279.0
1971,900.0
1972,1094.0
1973,965.0
1974,948.0
1975,1203.0
1976,1060.0
1977,1051.0
1978,1076.0
1979,979.0
1980,1159.0
1981,1162.0
1982,1145.0
1983,1352.0
1984,1456.0
1985,1146.0
1986,1282.0
1987,1016.0
1988,1395.0
1989,1632.0
1990,1518.0
1991,1376.0
1992,1676.0
1993,1602.0
1994,1448.0
1995,1595.0
1996,1720.0
1997,1712.0
1998,1797.0
1999,1792.0
2000,1822.0
2001,2000.0
2002,1681.0
2003,2041.0
2004,1907.0
2005,1938.0
2006,1912.0
2007,2335.0
2008,2414.0
2009,2024.0
2010,2540.0
2011,2478.0
2012,2565.0
2013,2676.0
2014,2632.0
2015,2563.0
2016,2689.0
2017,3065.0
2018,3070.0
2019,3006.0
2020,3199.0
2021,3387.0
2022,3545.0
2023,3351.0
