Year,Exponential Smoothing,SARIMA,Auto ARIMA
2023,1347.94,1332.56,1329.58
2024,1373.9,1351.46,1341.19
2025,1392.91,1368.44,1352.8
2026,1417.95,1374.94,1364.41
2027,1433.46,1381.98,1376.02
2028,1459.42,1397.59,1387.63
2029,1478.44,1410.23,1399.24
2030,1503.47,1423.14,1410.85
2031,1518.99,1428.97,1422.46
2032,1544.95,1444.22,1434.07
2033,1563.97,1456.41,1445.68
2034,1589,1469.99,1457.3
2035,1604.52,1475.69,1468.91
2036,1630.48,1490.91,1480.52
2037,1649.5,1503.05,1492.13
2038,1674.53,1516.7,1503.74
2039,1690.05,1522.39,1515.35
2040,1716.01,1537.61,1526.96
2041,1735.02,1549.73,1538.57
2042,1760.06,1563.4,1550.18
2043,1775.57,1569.08,1561.79
2044,1801.53,1584.3,1573.4
2045,1820.55,1596.43,1585.01
2046,1845.58,1610.09,1596.63
2047,1861.1,1615.78,1608.24
2048,1887.06,1631,1619.85
2049,1906.08,1643.12,1631.46
2050,1931.11,1656.79,1643.07
