Year,Total
1950,520.0
1951,521.0
1952,424.0
1953,488.0
1954,511.0
1955,474.0
1956,509.0
1957,502.0
1958,561.0
1959,470.0
1960,507.0
1961,493.0
1962,482.0
1963,481.0
1964,561.0
1965,419.0
1966,412.0
1967,509.0
1968,454.0
1969,502.0
1970,578.0
1971,525.0
1972,450.0
1973,552.0
1974,525.0
1975,624.0
1976,512.0
1977,563.0
1978,570.0
1979,516.0
1980,532.0
1981,639.0
1982,563.0
1983,679.0
1984,684.0
1985,569.0
1986,605.0
1987,629.0
1988,824.0
1989,742.0
1990,771.0
1991,719.0
1992,797.0
1993,799.0
1994,843.0
1995,851.0
1996,887.0
1997,817.0
1998,945.0
1999,854.0
2000,810.0
2001,913.0
2002,691.0
2003,1064.0
2004,885.0
2005,1004.0
2006,916.0
2007,1115.0
2008,1006.0
2009,958.0
2010,1193.0
2011,1133.0
2012,1168.0
2013,1168.0
2014,1075.0
2015,968.0
2016,1195.0
2017,1284.0
2018,1271.0
2019,1224.0
2020,1247.0
2021,1312.0
2022,1368.0
2023,1314.0
