Year,Exponential Smoothing,SARIMA,Auto ARIMA
2023,931.39,917.9,889.07
2024,935.08,917.47,895.04
2025,947.71,914.41,901.01
2026,954.87,913.22,906.98
2027,999.02,953.04,912.95
2028,1002.7,952.62,918.92
2029,1015.34,950.44,924.89
2030,1022.5,948.25,930.86
2031,1066.64,987.92,936.83
2032,1070.33,987.5,942.8
2033,1082.97,985.27,948.77
2034,1090.12,983.13,954.74
2035,1134.27,1022.81,960.71
2036,1137.96,1022.39,966.68
2037,1150.6,1020.17,972.65
2038,1157.75,1018.03,978.62
2039,1201.9,1057.7,984.59
2040,1205.59,1057.28,990.56
2041,1218.22,1055.06,996.53
2042,1225.38,1052.92,1002.5
2043,1269.53,1092.59,1008.47
2044,1273.21,1092.17,1014.44
2045,1285.85,1089.95,1020.41
2046,1293.01,1087.81,1026.38
2047,1337.15,1127.48,1032.35
2048,1340.84,1127.06,1038.32
2049,1353.48,1124.84,1044.29
2050,1360.63,1122.7,1050.26
