Year,Total
1950,441.0
1951,448.0
1952,463.0
1953,489.0
1954,500.0
1955,476.0
1956,495.0
1957,424.0
1958,541.0
1959,475.0
1960,539.0
1961,485.0
1962,475.0
1963,416.0
1964,520.0
1965,438.0
1966,377.0
1967,534.0
1968,490.0
1969,531.0
1970,524.0
1971,501.0
1972,474.0
1973,427.0
1974,455.0
1975,494.0
1976,494.0
1977,510.0
1978,515.0
1979,385.0
1980,473.0
1981,483.0
1982,519.0
1983,548.0
1984,526.0
1985,547.0
1986,506.0
1987,512.0
1988,598.0
1989,549.0
1990,578.0
1991,533.0
1992,573.0
1993,598.0
1994,610.0
1995,552.0
1996,635.0
1997,567.0
1998,634.0
1999,635.0
2000,544.0
2001,607.0
2002,543.0
2003,635.0
2004,577.0
2005,597.0
2006,612.0
2007,625.0
2008,659.0
2009,630.0
2010,691.0
2011,691.0
2012,789.0
2013,764.0
2014,728.0
2015,656.0
2016,786.0
2017,853.0
2018,757.0
2019,823.0
2020,885.0
2021,888.0
2022,902.0
2023,881.0
