Year,Exponential Smoothing,SARIMA,Auto ARIMA
2023,2912.66,2896.43,2880.89
2024,2975.64,2940.49,2910.45
2025,2971.15,2918.34,2940.01
2026,3046.86,2984.37,2969.56
2027,3084.76,3012.09,2999.12
2028,3147.74,3056.58,3028.68
2029,3143.25,3040.15,3058.24
2030,3218.95,3104.24,3087.8
2031,3256.85,3130.85,3117.36
2032,3319.83,3175.3,3146.91
2033,3315.34,3158.39,3176.47
2034,3391.05,3222.64,3206.03
2035,3428.94,3249.35,3235.59
2036,3491.93,3293.81,3265.15
2037,3487.43,3276.93,3294.71
2038,3563.14,3341.17,3324.26
2039,3601.04,3367.87,3353.82
2040,3664.02,3412.33,3383.38
2041,3659.53,3395.45,3412.94
2042,3735.24,3459.69,3442.5
2043,3773.13,3486.39,3472.06
2044,3836.12,3530.84,3501.61
2045,3831.62,3513.97,3531.17
2046,3907.33,3578.21,3560.73
2047,3945.23,3604.91,3590.29
2048,4008.21,3649.36,3619.85
2049,4003.72,3632.49,3649.41
2050,4079.43,3696.73,3678.96
