Year,Total
1950,668.0
1951,714.0
1952,764.0
1953,902.0
1954,820.0
1955,874.0
1956,900.0
1957,790.0
1958,930.0
1959,937.0
1960,1013.0
1961,1028.0
1962,931.0
1963,1033.0
1964,1078.0
1965,862.0
1966,863.0
1967,1032.0
1968,1076.0
1969,1073.0
1970,1123.0
1971,1141.0
1972,1070.0
1973,1151.0
1974,1045.0
1975,1235.0
1976,1088.0
1977,1308.0
1978,1328.0
1979,1074.0
1980,1336.0
1981,1308.0
1982,1231.0
1983,1457.0
1984,1417.0
1985,1552.0
1986,1471.0
1987,1473.0
1988,1689.0
1989,1745.0
1990,1740.0
1991,1751.0
1992,1744.0
1993,1888.0
1994,1911.0
1995,1797.0
1996,1882.0
1997,1900.0
1998,1921.0
1999,1986.0
2000,1900.0
2001,2079.0
2002,1744.0
2003,2078.0
2004,1984.0
2005,2102.0
2006,2131.0
2007,2202.0
2008,2178.0
2009,2125.0
2010,2239.0
2011,2393.0
2012,2462.0
2013,2416.0
2014,2391.0
2015,2400.0
2016,2494.0
2017,2576.0
2018,2638.0
2019,2722.0
2020,2717.0
2021,2798.0
2022,2838.0
2023,2882.0
