Year,Total
1950,663.0
1951,653.0
1952,763.0
1953,750.0
1954,803.0
1955,708.0
1956,695.0
1957,682.0
1958,789.0
1959,772.0
1960,851.0
1961,890.0
1962,793.0
1963,730.0
1964,913.0
1965,827.0
1966,887.0
1967,1103.0
1968,1169.0
1969,1209.0
1970,1307.0
1971,1380.0
1972,1271.0
1973,1172.0
1974,1338.0
1975,1410.0
1976,1387.0
1977,1480.0
1978,1568.0
1979,1436.0
1980,1630.0
1981,1691.0
1982,1816.0
1983,1843.0
1984,1870.0
1985,2046.0
1986,1916.0
1987,1995.0
1988,2244.0
1989,2121.0
1990,2281.0
1991,2394.0
1992,2327.0
1993,2380.0
1994,2559.0
1995,2483.0
1996,2679.0
1997,2485.0
1998,2590.0
1999,2778.0
2000,2708.0
2001,2762.0
2002,2584.0
2003,2713.0
2004,2602.0
2005,2619.0
2006,2708.0
2007,2802.0
2008,2907.0
2009,2839.0
2010,2989.0
2011,3177.0
2012,3117.0
2013,3145.0
2014,2750.0
2015,3034.0
2016,3200.0
2017,3368.0
2018,3533.0
2019,3440.0
2020,3521.0
2021,3537.0
2022,3521.0
2023,3559.0
